state,mean_beds,DH,CHC,PHC,Acute Diarrhoeal Diseases,"Acute Respiaratory 
Infection",Japanese Encephalitis,Malaria,Viral Hepatitis
Andhra Pradesh,914.4,0.5923913043478259,0.23513753327417924,0.05564748201438848,1707041.4,2757472.4,2.0,25020.0,6798.2
Arunachal Pradesh,131.0,0.9375,0.7362318840579709,0.018786902844873856,25454.6,36226.0,12.4,7957.8,677.8
Assam,205.0,0.9074074074074073,0.5744292237442922,0.03727221064595567,109750.4,153293.2,564.4,25406.6,1278.4
Bihar,1500.0,0.9473684210526316,0.13133208255159476,0.04178366091723493,432493.6,1215501.6,50.0,2706.4,11302.0
Chhattisgarh,829.0,1.421875,1.0493150684931507,0.03829871807612044,105059.2,292398.4,34.27368421052631,126764.6,560.6
Goa,130.2,1.0,0.4,0.06047904191616767,14925.6,60636.0,2.6,1208.2,144.2
Gujarat,3045.8,0.8974243605396347,1.836470588235294,0.06413168724279834,455492.2,1019209.6,34.27368421052631,61510.6,4262.2
Haryana,765.0,0.9821428571428572,0.9142857142857143,0.06601374068118696,198705.8,1155863.4,4.8,16403.8,2700.8
Himachal Pradesh,660.4,1.0,1.0293333333333334,0.02308361527307878,336693.2,1543064.0,34.27368421052631,153.2,1825.6
Jammu & Kashmir,131.0,1.0170454545454544,0.783177570093458,0.08252708683045934,534888.6,692149.6,34.27368421052631,632.0,5308.2
Jharkhand,328.4,0.9374999999999999,0.8909952606635072,0.010168549731431746,80962.2,221063.2,64.6,116780.2,1018.6
Karnataka,10737.0,1.0333333333333332,1.0761363636363637,0.07877300613496932,671770.6,1808243.0,13.2,16028.0,7026.6
Kerala,5110.8,1.1233858990011731,1.456578947368421,0.8043222003929273,365012.8,5775245.2,9.2,1792.6,6008.6
Madhya Pradesh,1098.2,1.0099999999999998,1.0651757188498403,0.02111360034970767,562148.4,1198028.6,34.27368421052631,88145.6,11862.8
Maharashtra,10132.0,0.6571428571428571,1.0106145251396648,0.041468553891255554,595582.6,968620.2,18.652631578947368,61751.8,6631.8
Manipur,287.0,0.7777777777777778,0.46111111111111114,0.03214562354763749,25904.0,33467.0,3.2,290.0,249.4
Meghalaya,102.0,1.589285714285714,0.712820512820513,0.0159087585904372,161861.6,295903.4,22.6,31695.0,344.4
Mizoram,92.0,1.015625,0.34615384615384615,0.06867469879518072,14816.6,29874.4,34.27368421052631,16445.8,495.4
Nagaland,10.0,1.0,0.40384615384615385,0.08851540616246499,21284.0,36683.0,24.021052631578947,2400.4,127.4
Orissa,903.0,1.0666666666666667,1.2006369426751593,0.024824118644398104,698576.6,1764717.2,34.27368421052631,325615.6,4353.0
Punjab,1041.6,1.0624999999999998,0.9971631205673759,0.03473491773308958,184052.6,649160.8,0.0,1562.2,5063.6
Rajasthan,1430.8,1.0265151515151514,1.961181434599156,0.0394878223495702,545200.4,2293648.4,34.27368421052631,31957.8,3594.0
Sikkim,2.5,1.0,0.0,0.0532150776053215,41057.2,87069.2,34.27368421052631,45.8,488.4
Tamil Nadu,2496.2,0.953125,1.0,0.08011765442142812,249940.6,2191801.8,34.0,14100.6,4076.4
Telangana,771.0,1.0526065523400516,0.8254988581744293,0.07560329070353233,504416.47857142857,1090557.6642857143,22.457142857142856,26375.15,3357.7357142857145
Tripura,34.0,1.0,0.39499999999999996,0.09508571428571429,90341.6,155824.8,10.2,23428.6,237.6
Uttarakhand,11624.8,1.4519230769230769,0.6042105263157895,0.09712380158399332,188178.2,197135.0,1.0,1463.4,7549.2
Uttar Pradesh,1055.4,2.0387323943661975,0.8238622386223862,0.020578236070916803,635550.4,1571513.4,237.2,47377.8,10059.6
West Bengal,1108.0,1.0263157894736843,1.0187683284457478,0.022610252966196554,1855623.2,2575936.4,217.0,41483.2,4570.6
